section_id,course_id,subject_code,catalog_number,instructors,status,available_seats,waitlist_total,capacity,enrolled,meeting_time,location,instruction_mode,is_asynchronous
,,,,,OPEN,,,2,0,,Online,,
,,,,,OPEN,,,3,0,,Online,,
,,,,Matthew Digman,OPEN,,,2,1,,Online,,
,,,,"John Archambault, Stephanie Kann",OPEN,,,40,6,,OFF CAMPUS,,
,,,,,OPEN,,,40,14,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,50,1,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,50,18,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,30,7,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,10,0,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,100,3,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,10,1,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,100,37,,Online,,
,,,,"Stephanie Kann, Drew Graf",CLOSED,,,0,0,,Online,,
,,,,,CLOSED,,,12,12,,Mosse Humanities Building 1341,,
,,,,,CLOSED,,,12,12,,Mosse Humanities Building 1341,,
,,,,"Anthony Disanza, Todd Hammes",OPEN,,,8,7,,Mosse Humanities Building 1341,,
,,,,Scott Teeple,OPEN,,,50,0,,Hamel Music Center 1131,,
,,,,Corey Pompey,OPEN,,,80,0,,Hamel Music Center 1131,,
,,,,Corey Pompey,OPEN,,,330,0,,,,
,,,,"Herb Payung, Ben Grochowsky",OPEN,,,110,46,,Hamel Music Center 1131,,
,,,,"Herb Payung, R. Louis Vajda",OPEN,,,110,70,,Hamel Music Center 1131,,
,,,,"Corey Pompey, Herb Payung",OPEN,,,109,81,,Hamel Music Center 1131,,
,,,,Mariana De Oliveira Farah,OPEN,,,80,26,,Mosse Humanities Building 1351,,
,,,,Mariana De Oliveira Farah,OPEN,,,100,54,,Mosse Humanities Building 1351,,
,,,,"Bert Pinsonneault, Mariana De Oliveira Farah",OPEN,,,80,25,,Mosse Humanities Building 1351,,
,,,,Mariana De Oliveira Farah,OPEN,,,80,53,,Mosse Humanities Building 1351,,
,,,,Oriol Sans Arrufat,OPEN,,,110,76,,Hamel Music Center 1131,,
,,,,Oriol Sans Arrufat,CLOSED,,,110,111,,Hamel Music Center 1131,,
,,,,Oriol Sans Arrufat,OPEN,,,90,0,,Hamel Music Center 1131,,
,,,,Javier Calderon,OPEN,,,10,0,,Online,,
,,,,Ari Davidovsky,OPEN,,,50,49,,Van Vleck Hall B107,,
,,,,Ryan Tamura,OPEN,,,50,49,,Van Vleck Hall B107,,
,,,,Varun Gudibanda,OPEN,,,45,43,,Ingraham Hall 120,,
,,,,Antonio Nakid Cordero,CLOSED,,,45,45,,Computer Sciences 1325,,
,,,,Karthik Ravishankar,OPEN,,,45,42,,Van Vleck Hall B107,,
,,,,Qi Sun,CLOSED,,,45,45,,Van Vleck Hall B107,,
,,,,Ali Aligholi,CLOSED,,,45,45,,Van Vleck Hall B107,,
,,,,Boyana Martinova,CLOSED,,,45,45,,Ingraham Hall 120,,
,,,,Oh Hoon Kwon,CLOSED,,,45,45,,Van Vleck Hall B107,,
,,,,Oh Hoon Kwon,CLOSED,,,45,45,,Van Vleck Hall B107,,
,,,,Jia Hao Tan,OPEN,,,50,48,,Mechanical Engineering Building 1153,,
,,,,Caitlin Davis,OPEN,,,50,49,,Van Vleck Hall B107,,
,,,,Anuk Dayaprema,OPEN,,,52,51,,Van Vleck Hall B107,,
,,,,Joanna Wangerin,OPEN,,,50,13,,ONLINE,,
,,,,Joanna Wangerin,CLOSED,,,252,247,,Grainger Hall 2290,,
,,,,Joanna Wangerin,CLOSED,,,252,247,,Grainger Hall 2190,,
,,,,Joanna Wangerin,CLOSED,,,252,247,,Grainger Hall 1175,,
,,,,Joanna Wangerin,CLOSED,,,252,247,,Grainger Hall 2280,,
,,,,Joanna Wangerin,CLOSED,,,252,247,,Grainger Hall 1175,,
,,,,Joanna Wangerin,CLOSED,,,252,247,,Grainger Hall 3560,,
,,,,Joanna Wangerin,CLOSED,,,252,247,,Grainger Hall 3560,,
,,,,Joanna Wangerin,WAITLISTED,,,259,253,,Grainger Hall 1270,,
,,,,Joanna Wangerin,WAITLISTED,,,259,253,,Grainger Hall 1270,,
,,,,Joanna Wangerin,WAITLISTED,,,259,253,,Grainger Hall 2290,,
,,,,Joanna Wangerin,WAITLISTED,,,259,253,,Grainger Hall 2270,,
,,,,Joanna Wangerin,WAITLISTED,,,259,253,,Grainger Hall 2290,,
,,,,Joanna Wangerin,WAITLISTED,,,259,253,,Grainger Hall 2170,,
,,,,Joanna Wangerin,WAITLISTED,,,259,253,,Grainger Hall 3560,,
,,,,Matthew Brown,CLOSED,,,108,93,,Plant Sciences 108,,
,,,,Matthew Brown,OPEN,,,108,93,,Van Hise Hall 590,,
,,,,Matthew Brown,CLOSED,,,108,93,,Chemistry Building 2344,,
,,,,Matthew Brown,CLOSED,,,108,93,,Van Hise Hall 586,,
,,,,Matthew Brown,OPEN,,,108,93,,Van Hise Hall 487,,
,,,,Matthew Brown,OPEN,,,108,93,,Van Hise Hall 586,,
,,,,Matthew Brown,OPEN,,,108,93,,Van Hise Hall 586,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Ingraham Hall 120,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Van Vleck Hall B325,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Ingraham Hall 120,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Van Hise Hall 590,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Van Hise Hall 590,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Van Hise Hall 590,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Van Vleck Hall B215,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Van Vleck Hall B215,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Van Vleck Hall B215,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Chemistry Building 2344,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Noland Hall 119,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Noland Hall 119,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Van Vleck Hall B309,,
,,,,Morgan Smallwood,OPEN,,,350,155,,Van Vleck Hall B139,,
,,,,Morgan Smallwood,CLOSED,,,350,155,,Chemistry Building 1311,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",OPEN,,,55,37,,Sewell Social Sciences 5322,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",OPEN,,,55,37,,Sewell Social Sciences 6322,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",OPEN,,,55,37,,Sewell Social Sciences 6322,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",OPEN,,,55,37,,Sewell Social Sciences 5322,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",OPEN,,,55,37,,Sewell Social Sciences 6322,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",CLOSED,,,55,55,,Sewell Social Sciences 5322,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",CLOSED,,,55,55,,Sewell Social Sciences 6322,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",CLOSED,,,55,55,,Sewell Social Sciences 6322,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",CLOSED,,,55,55,,Sewell Social Sciences 5322,,
,,,,"Travis Pickering, Jonathan Kenoyer, Veronika Kusumaryati",CLOSED,,,55,55,,Sewell Social Sciences 6322,,
,,,,Heather Schatz,CLOSED,,,180,152,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,152,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,152,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,152,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,OPEN,,,180,152,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,152,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,152,,Mosse Humanities Building 6111,,
,,,,Heather Schatz,CLOSED,,,180,152,,Mosse Humanities Building 6111,,
,,,,Heather Schatz,CLOSED,,,180,152,,Mosse Humanities Building 6111,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6127,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6127,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6127,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6127,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6127,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6127,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6111,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6111,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6111,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6101,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6111,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6111,,
,,,,Heather Schatz,CLOSED,,,180,180,,Mosse Humanities Building 6111,,
,,,,Gudrun Buhnemann,OPEN,,,20,4,,Van Hise Hall 478,,
,,,,Adam Kern,OPEN,,,100,77,,DeLuca Biochemistry Building 1125,,
,,,,Adam Kern,OPEN,,,100,77,,DeLuca Biochemistry Building 1125,,
,,,,Gudrun Buhnemann,OPEN,,,20,4,,Van Hise Hall 478,,
,,,,,OPEN,,,200,100,,Brogden Psychology Building 113,,
,,,,Andrea Lang,OPEN,,,250,125,,Chemistry Building S413,,
,,,,"Mario Pennella, Erica Shu",WAITLISTED,,,30,30,,Babcock Hall 121,,
,,,,"Mario Pennella, Erica Shu",WAITLISTED,,,30,30,,Microbial Sciences 1510,,
,,,,"Mario Pennella, Erica Shu",OPEN,,,30,29,,DeLuca Biochemistry Laboratories 175,,
,,,,"Mario Pennella, Erica Shu",WAITLISTED,,,30,30,,DeLuca Biochemistry Building 2131,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4041,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4013,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4041,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4011,,
,,,,,CLOSED,,,15,15,,,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4013,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4014,,
,,,,,CLOSED,,,10,10,,Vilas Hall 4011,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4035,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4014,,
,,,,,CLOSED,,,10,10,,Vilas Hall 4035,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4013,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4014,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4035,,
,,,,,CLOSED,,,15,15,,Dejope Residence Hall 1110,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4046,,
,,,,,CLOSED,,,12,12,,,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4035,,
,,,,,CLOSED,,,13,13,,Vilas Hall 4014,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4011,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4014,,
,,,,,CLOSED,,,13,13,,Vilas Hall 4011,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4013,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4013,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4013,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4011,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4035,,
,,,,,CLOSED,,,14,14,,Vilas Hall 4014,,
,,,,,CLOSED,,,13,13,,Witte Residence Hall 114,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4014,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4041,,
,,,,,CLOSED,,,1,1,,Vilas Hall 4011,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4046,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4035,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4013,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4020,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4013,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4041,,
,,,,,CLOSED,,,11,11,,Vilas Hall 4046,,
,,,,,CLOSED,,,11,11,,Witte Residence Hall 114,,
,,,,,CLOSED,,,12,12,,Vilas Hall 4035,,
,,,,,CLOSED,,,14,14,,Vilas Hall 4014,,
,,,,,CLOSED,,,14,14,,Vilas Hall 4011,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4041,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4035,,
,,,,,CLOSED,,,6,6,,Vilas Hall 4011,,
,,,,,CLOSED,,,12,12,,,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4013,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4046,,
,,,,,CLOSED,,,14,14,,,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4014,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4013,,
,,,,,CLOSED,,,15,15,,Witte Residence Hall 114,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4035,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4014,,
,,,,,CLOSED,,,12,12,,Sellery Residence Hall 137,,
,,,,,CLOSED,,,4,4,,Vilas Hall 4020,,
,,,,,CLOSED,,,13,13,,Vilas Hall 4011,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4041,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4046,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4014,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4046,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4035,,
,,,,,CLOSED,,,0,0,,Vilas Hall 4011,,
,,,,,CLOSED,,,3,3,,Vilas Hall 4020,,
,,,,,CLOSED,,,11,11,,Vilas Hall 4013,,
,,,,,CLOSED,,,13,13,,,,
,,,,,CLOSED,,,15,15,,Vilas Hall 4041,,
,,,,Jin-Wen Yu,CLOSED,,,120,106,,ONLINE,,
,,,,Matt Friedman,OPEN,,,80,28,,Engineering Hall 2305,,
,,,,Sara Kelm,CLOSED,,,19,19,,Van Vleck Hall B231,,
,,,,Sara Kelm,CLOSED,,,17,17,,Russell Laboratories 104,,
,,,,Sara Kelm,CLOSED,,,17,17,,Van Hise Hall 483,,
,,,,Sara Kelm,CLOSED,,,17,17,,Van Hise Hall 587,,
,,,,Sara Kelm,CLOSED,,,19,19,,Van Hise Hall 595,,
,,,,Sara Kelm,CLOSED,,,19,19,,Education Building L173,,
,,,,Sara Kelm,CLOSED,,,19,19,,Education Building L173,,
,,,,Sara Kelm,CLOSED,,,0,0,,Dejope Residence Hall 1110,,
,,,,Sara Kelm,CLOSED,,,0,0,,Sellery Residence Hall 137,,
,,,,Sara Kelm,CLOSED,,,17,17,,Sterling Hall 1335,,
,,,,Sara Kelm,OPEN,,,19,17,,Engineering Hall 2341,,
,,,,Sara Kelm,CLOSED,,,17,17,,Mosse Humanities Building 2251,,
,,,,Sara Kelm,CLOSED,,,0,0,,Mechanical Engineering Building 2108,,
,,,,Sara Kelm,CLOSED,,,17,17,,Education Building 151,,
,,,,Sara Kelm,CLOSED,,,0,2,,Helen C. White Hall 4208,,
,,,,Sara Kelm,CLOSED,,,19,19,,Education Building L173,,
,,,,Sara Kelm,CLOSED,,,19,19,,Van Hise Hall 482,,
,,,,Sara Kelm,CLOSED,,,0,2,,Education Building L173,,
,,,,Sara Kelm,CLOSED,,,17,17,,Education Building L173,,
,,,,Sara Kelm,CLOSED,,,19,19,,Education Building 345,,
,,,,Sara Kelm,CLOSED,,,17,17,,Educational Sciences 304,,
,,,,Sara Kelm,CLOSED,,,19,19,,Van Hise Hall 482,,
,,,,Sara Kelm,CLOSED,,,17,17,,Education Building L151,,
,,,,Sara Kelm,CLOSED,,,17,17,,Education Building L151,,
,,,,Sara Kelm,CLOSED,,,19,19,,Education Building L151,,
,,,,Sara Kelm,CLOSED,,,0,0,,Sellery Residence Hall 137,,
,,,,Sara Kelm,CLOSED,,,19,19,,Witte Residence Hall 116,,
,,,,Sara Kelm,CLOSED,,,17,17,,Van Hise Hall 479,,
,,,,Sara Kelm,CLOSED,,,17,17,,Van Hise Hall 599,,
,,,,Sara Kelm,CLOSED,,,19,19,,Sellery Residence Hall 137,,
,,,,Sara Kelm,CLOSED,,,0,0,,Vilas Hall 4046,,
,,,,Sara Kelm,CLOSED,,,19,19,,Education Building 345,,
,,,,Sara Kelm,CLOSED,,,0,0,,Education Building 151,,
,,,,Sara Kelm,CLOSED,,,17,17,,Van Hise Hall 478,,
,,,,Sara Kelm,CLOSED,,,17,17,,Russell Laboratories 104,,
,,,,Sara Kelm,CLOSED,,,17,17,,Education Building 151,,
,,,,Sara Kelm,CLOSED,,,17,17,,Education Building L173,,
,,,,Sara Kelm,CLOSED,,,0,0,,Babcock Hall 119,,
,,,,Sara Kelm,CLOSED,,,0,0,,Witte Residence Hall 106,,
,,,,Sara Kelm,CLOSED,,,17,17,,Education Building L173,,
,,,,Sara Kelm,CLOSED,,,0,0,,Van Hise Hall 582,,
,,,,Sara Kelm,OPEN,,,19,8,,Witte Residence Hall 116,,
,,,,Sara Kelm,CLOSED,,,19,19,,Van Hise Hall 479,,
,,,,Sara Kelm,OPEN,,,19,6,,Dejope Residence Hall 1110,,
,,,,Sara Kelm,OPEN,,,19,15,,Van Hise Hall 586,,
,,,,Sara Kelm,CLOSED,,,19,19,,Education Building 151,,
,,,,Sara Kelm,CLOSED,,,19,19,,Dejope Residence Hall 1110,,
,,,,Sara Kelm,CLOSED,,,0,0,,Witte Residence Hall 116,,
,,,,Sara Kelm,CLOSED,,,19,19,,Education Building 345,,
,,,,Sara Kelm,CLOSED,,,17,17,,Education Building L173,,
,,,,Sara Kelm,OPEN,,,19,11,,Education Building L151,,
,,,,Sara Kelm,CLOSED,,,19,19,,Witte Residence Hall 116,,
,,,,Sara Kelm,CLOSED,,,19,19,,Van Vleck Hall B131,,
,,,,Sara Kelm,CLOSED,,,0,0,,Dejope Residence Hall 1110,,
,,,,Sara Kelm,CLOSED,,,19,19,,Education Building 151,,
,,,,Sara Kelm,OPEN,,,19,18,,Education Building 345,,
,,,,Sara Kelm,CLOSED,,,0,0,,Engineering Hall 2540,,
,,,,Sara Kelm,OPEN,,,19,16,,Van Hise Hall 574,,
,,,,Sara Kelm,OPEN,,,19,18,,Chadbourne Residence Hall 126,,
,,,,Sara Kelm,CLOSED,,,19,19,,Dejope Residence Hall 1110,,
,,,,Sara Kelm,OPEN,,,19,13,,Van Hise Hall 491,,
,,,,Sara Kelm,CLOSED,,,19,19,,Mosse Humanities Building 2261,,
,,,,Sara Kelm,CLOSED,,,17,17,,Helen C. White Hall 4208,,
,,,,Sara Kelm,CLOSED,,,17,17,,Mosse Humanities Building 2251,,
,,,,Sara Kelm,CLOSED,,,0,0,,Dejope Residence Hall 1110,,
,,,,Sara Kelm,CLOSED,,,0,0,,Chadbourne Residence Hall 126,,
,,,,Karie Cherwin,CLOSED,,,120,74,,,,
,,,,Thomas Dubois,CLOSED,,,240,192,,Babcock Hall 121,,
,,,,Thomas Dubois,WAITLISTED,,,240,192,,Mechanical Engineering Building 1164,,
,,,,Thomas Dubois,WAITLISTED,,,240,192,,Van Hise Hall 478,,
,,,,Thomas Dubois,OPEN,,,240,192,,Van Hise Hall 367,,
,,,,Thomas Dubois,WAITLISTED,,,240,192,,Van Hise Hall 482,,
,,,,Thomas Dubois,OPEN,,,240,192,,Van Vleck Hall B139,,
,,,,Thomas Dubois,CLOSED,,,240,192,,Van Hise Hall 494,,
,,,,Thomas Dubois,WAITLISTED,,,240,192,,Van Hise Hall 594,,
,,,,Thomas Dubois,CLOSED,,,240,192,,Grainger Hall 2165,,
,,,,Thomas Dubois,OPEN,,,240,192,,Vilas Hall 4020,,
,,,,Thomas Dubois,OPEN,,,240,192,,Van Hise Hall 495,,
,,,,Thomas Dubois,CLOSED,,,240,192,,Van Hise Hall 575,,
,,,,Karie Cherwin,CLOSED,,,90,46,,,,
,,,,,OPEN,,,25,8,,Phillips Residence Hall 119,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Chloe Bonamici,CLOSED,,,190,180,,Weeks Hall for Geological Sciences A230,,
,,,,Finn Enke,OPEN,,,20,10,,Van Vleck Hall B313,,
,,,,Finn Enke,OPEN,,,20,10,,Van Vleck Hall B313,,
,,,,Marla Ramirez Tahuado,WAITLISTED,,,15,15,,Mosse Humanities Building 5257,,
,,,,Patrick Iber,OPEN,,,20,15,,Van Hise Hall 478,,
,,,,Patrick Iber,OPEN,,,20,15,,Van Hise Hall 478,,
,,,,Marla Ramirez Tahuado,WAITLISTED,,,15,15,,Mosse Humanities Building 5257,,
,,,,Cara Theisen,OPEN,,,88,77,,Helen C. White Hall 3250,,
,,,,Cara Theisen,WAITLISTED,,,88,77,,Helen C. White Hall 3250,,
,,,,Cara Theisen,WAITLISTED,,,88,77,,Helen C. White Hall 3250,,
,,,,Cara Theisen,OPEN,,,88,77,,Helen C. White Hall 3250,,
,,,,Cara Theisen,OPEN,,,88,77,,Helen C. White Hall 3250,,
,,,,Cara Theisen,OPEN,,,80,61,,Helen C. White Hall 3250,,
,,,,Cara Theisen,OPEN,,,80,61,,Helen C. White Hall 3250,,
,,,,Cara Theisen,OPEN,,,80,61,,Helen C. White Hall 3250,,
,,,,Cara Theisen,OPEN,,,80,61,,Helen C. White Hall 3250,,
,,,,Erin Mcgowan,WAITLISTED,,,110,109,,Helen C. White Hall 3250,,
,,,,Erin Mcgowan,WAITLISTED,,,110,107,,Helen C. White Hall 3250,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Hiram Smith Hall 135,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Agricultural Hall 10,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Agricultural Engineering Building 101,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Engineering Hall 2321,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Van Hise Hall 478,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Engineering Hall 2321,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Hiram Smith Hall 135,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Agricultural Engineering Building 101,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Van Hise Hall 478,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Hiram Smith Hall 135,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Agricultural Hall 10,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Engineering Hall 2321,,
,,,,Dominique Brossard,CLOSED,,,18,18,,Engineering Hall 2341,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Engineering Hall 2341,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Engineering Hall 2321,,
,,,,Dominique Brossard,CLOSED,,,12,12,,Hiram Smith Hall 135,,
,,,,Caitlin Robinson,CLOSED,,,60,60,,ONLINE,,
,,,,"Gary Lu, Carlyn Mueller",WAITLISTED,,,80,75,,Teacher Education 350,,
,,,,"Perpetua Owese, Gary Lu",WAITLISTED,,,80,76,,Engineering Hall 2305,,
,,,,,OPEN,,,80,64,,Sewell Social Sciences 6104,,
,,,,,WAITLISTED,,,80,80,,Science Hall 180,,
,,,,Dan Lisowski,CLOSED,,,20,20,,Vilas Hall 3170,,
,,,,Dan Lisowski,CLOSED,,,20,20,,Vilas Hall 3170,,
,,,,Dan Lisowski,CLOSED,,,20,20,,Vilas Hall 3170,,
,,,,Dan Lisowski,OPEN,,,150,90,,Vilas Hall 3170,,
,,,,Tessa Conroy,OPEN,,,100,54,,Russell Laboratories 104,,
,,,,Tessa Conroy,CLOSED,,,100,54,,Russell Laboratories 104,,
,,,,Tessa Conroy,OPEN,,,100,54,,Russell Laboratories 150,,
,,,,Tessa Conroy,OPEN,,,100,54,,Nutritional Sciences 290,,
,,,,"Ryan Hansen, Scott Gross, Divot Ware",OPEN,,,24,8,,Noland Hall 342,,
,,,,"Ryan Hansen, Scott Gross, Divot Ware",OPEN,,,24,13,,Noland Hall 342,,
,,,,"Eric Ronk, Hilario Mantovani",OPEN,,,175,110,,,,
,,,,Victor Jew,OPEN,,,60,55,,Ingraham Hall 22,,
,,,,Tianlu Zhang,WAITLISTED,,,22,22,,Van Hise Hall 394,,
,,,,Tianlu Zhang,OPEN,,,22,21,,Van Hise Hall 399,,
,,,,Tianlu Zhang,OPEN,,,22,19,,Van Hise Hall 367,,
,,,,Tianlu Zhang,OPEN,,,22,19,,Van Hise Hall 254,,
,,,,Andrea Lang,OPEN,,,100,59,,"Atmospheric, Oceanic and Space Sciences Building 823",,
